doc_id,doc_type,part_number,content,metadata
product_PS11731608,product,PS11731608,Admiral Refrigerator Meat Drawer Shelf. Brand: Whirlpool. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 47.06}"
install_PS11731608,installation,PS11731608,Installation guide for Admiral Refrigerator Meat Drawer Shelf. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=d6AvOkulk_g""}"
product_PS12728638,product,PS12728638,"Admiral Refrigerator Door Switch. Fixes: Light not working. Brand: Whirlpool. For: Refrigerator
Freezer
Ice Maker","{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 29.29}"
install_PS12728638,installation,PS12728638,Installation guide for Admiral Refrigerator Door Switch. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=2juGyjXFpyk""}"
troubleshoot_PS12728638,troubleshooting,PS12728638,Admiral Refrigerator Door Switch is recommended for these issues: Light not working. This is a refrigerator part from Whirlpool.,"{""category"": ""refrigerator"", ""symptoms"": [""Light not working""]}"
product_PS11752778,product,PS11752778,"Amana Refrigerator Door Shelf Bin. Fixes: Door won’t open or close, Ice maker won’t dispense ice, Leaking. Brand: Whirlpool. For: Refrigerator","{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 44.95}"
install_PS11752778,installation,PS11752778,Installation guide for Amana Refrigerator Door Shelf Bin. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=zSCNN6KpDE8""}"
troubleshoot_PS11752778,troubleshooting,PS11752778,"Amana Refrigerator Door Shelf Bin is recommended for these issues: Door won’t open or close, Ice maker won’t dispense ice, Leaking. This is a refrigerator part from Whirlpool.","{""category"": ""refrigerator"", ""symptoms"": [""Door won\u2019t open or close"", ""Ice maker won\u2019t dispense ice"", ""Leaking""]}"
product_PS11701542,product,PS11701542,"Amana Refrigerator Ice And Water Filter. Fixes: Not dispensing water, Ice maker not making ice, Ice maker won’t dispense ice. Brand: Whirlpool. For: Refrigerator","{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 83.89}"
install_PS11701542,installation,PS11701542,Installation guide for Amana Refrigerator Ice And Water Filter. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=rryiwFOJBYg""}"
troubleshoot_PS11701542,troubleshooting,PS11701542,"Amana Refrigerator Ice And Water Filter is recommended for these issues: Not dispensing water, Ice maker not making ice, Ice maker won’t dispense ice, Leaking, Ice maker dispenses too little ice. This is a refrigerator part from Whirlpool.","{""category"": ""refrigerator"", ""symptoms"": [""Not dispensing water"", ""Ice maker not making ice"", ""Ice maker won\u2019t dispense ice"", ""Leaking"", ""Ice maker dispenses too little ice""]}"
product_PS11739119,product,PS11739119,"Amana Refrigerator Crisper Drawer With Humidity Control. Fixes: Door won’t open or close, Ice maker not making ice, Leaking. Brand: Whirlpool. For: Refrigerator","{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 85.84}"
install_PS11739119,installation,PS11739119,Installation guide for Amana Refrigerator Crisper Drawer With Humidity Control. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=yqWpzesAc6U""}"
troubleshoot_PS11739119,troubleshooting,PS11739119,"Amana Refrigerator Crisper Drawer With Humidity Control is recommended for these issues: Door won’t open or close, Ice maker not making ice, Leaking, Ice maker won’t dispense ice, Touchpad does not respond, Door Sweating, Clicking sound. This is a refrigerator part from Whirlpool.","{""category"": ""refrigerator"", ""symptoms"": [""Door won\u2019t open or close"", ""Ice maker not making ice"", ""Leaking"", ""Ice maker won\u2019t dispense ice"", ""Touchpad does not respond"", ""Door Sweating"", ""Clicking sound""]}"
product_PS11739091,product,PS11739091,"Amana Refrigerator Door Shelf Bin - White. Fixes: Leaking, Door won’t open or close, Ice maker not making ice. Brand: Whirlpool. For: Refrigerator","{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 40.84}"
install_PS11739091,installation,PS11739091,Installation guide for Amana Refrigerator Door Shelf Bin - White. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=d6AvOkulk_g""}"
troubleshoot_PS11739091,troubleshooting,PS11739091,"Amana Refrigerator Door Shelf Bin - White is recommended for these issues: Leaking, Door won’t open or close, Ice maker not making ice. This is a refrigerator part from Whirlpool.","{""category"": ""refrigerator"", ""symptoms"": [""Leaking"", ""Door won\u2019t open or close"", ""Ice maker not making ice""]}"
product_PS11757048,product,PS11757048,"Amana Refrigerator Center Crisper Drawer Slide Rail - White. Fixes: Door won’t open or close, Noisy, Leaking. Brand: Whirlpool. For: Refrigerator","{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 52.31}"
install_PS11757048,installation,PS11757048,Installation guide for Amana Refrigerator Center Crisper Drawer Slide Rail - White. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=v9hrs0zu0fo""}"
troubleshoot_PS11757048,troubleshooting,PS11757048,"Amana Refrigerator Center Crisper Drawer Slide Rail - White is recommended for these issues: Door won’t open or close, Noisy, Leaking, Fridge too cold, Fridge and Freezer are too warm, Ice maker not making ice, Door Sweating. This is a refrigerator part from Whirlpool.","{""category"": ""refrigerator"", ""symptoms"": [""Door won\u2019t open or close"", ""Noisy"", ""Leaking"", ""Fridge too cold"", ""Fridge and Freezer are too warm"", ""Ice maker not making ice"", ""Door Sweating""]}"
product_PS11722130,product,PS11722130,"Amana Refrigerator Water Filter. Fixes: Not dispensing water, Ice maker not making ice, Leaking. Brand: Whirlpool. For: Refrigerator","{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 83.89}"
install_PS11722130,installation,PS11722130,Installation guide for Amana Refrigerator Water Filter. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=5oA-c0VklDg""}"
troubleshoot_PS11722130,troubleshooting,PS11722130,"Amana Refrigerator Water Filter is recommended for these issues: Not dispensing water, Ice maker not making ice, Leaking, Ice maker dispenses too little ice, Noisy, Fridge too cold, Ice maker won’t dispense ice, Touchpad does not respond. This is a refrigerator part from Whirlpool.","{""category"": ""refrigerator"", ""symptoms"": [""Not dispensing water"", ""Ice maker not making ice"", ""Leaking"", ""Ice maker dispenses too little ice"", ""Noisy"", ""Fridge too cold"", ""Ice maker won\u2019t dispense ice"", ""Touchpad does not respond""]}"
product_PS11738134,product,PS11738134,"Amana Refrigerator Pantry End Cap Kit, Lh And Rh. Fixes: Door won’t open or close, Fridge too cold, Noisy. Brand: Whirlpool. For: Refrigerator","{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 34.5}"
install_PS11738134,installation,PS11738134,"Installation guide for Amana Refrigerator Pantry End Cap Kit, Lh And Rh. Difficulty: N/A. Estimated time: N/A. Video tutorial available.","{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=0G8QcWb_2Fw""}"
troubleshoot_PS11738134,troubleshooting,PS11738134,"Amana Refrigerator Pantry End Cap Kit, Lh And Rh is recommended for these issues: Door won’t open or close, Fridge too cold, Noisy. This is a refrigerator part from Whirlpool.","{""category"": ""refrigerator"", ""symptoms"": [""Door won\u2019t open or close"", ""Fridge too cold"", ""Noisy""]}"
product_PS11739122,product,PS11739122,"Amana Refrigerator Crisper Drawer With Handle. Fixes: Door won’t open or close, Leaking. Brand: Whirlpool. For: Refrigerator","{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 56.79}"
install_PS11739122,installation,PS11739122,Installation guide for Amana Refrigerator Crisper Drawer With Handle. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=SaXgE3UwJ-k""}"
troubleshoot_PS11739122,troubleshooting,PS11739122,"Amana Refrigerator Crisper Drawer With Handle is recommended for these issues: Door won’t open or close, Leaking. This is a refrigerator part from Whirlpool.","{""category"": ""refrigerator"", ""symptoms"": [""Door won\u2019t open or close"", ""Leaking""]}"
product_PS2580853,product,PS2580853,"Amana Refrigerator Air Filter. Fixes: Fridge too warm, Fridge too cold, Ice maker not making ice. Brand: Whirlpool. For: Refrigerator","{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 16.71}"
install_PS2580853,installation,PS2580853,Installation guide for Amana Refrigerator Air Filter. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=nxIKznINpf8""}"
troubleshoot_PS2580853,troubleshooting,PS2580853,"Amana Refrigerator Air Filter is recommended for these issues: Fridge too warm, Fridge too cold, Ice maker not making ice, Noisy, Leaking, Door Sweating, Clicking sound. This is a refrigerator part from Whirlpool.","{""category"": ""refrigerator"", ""symptoms"": [""Fridge too warm"", ""Fridge too cold"", ""Ice maker not making ice"", ""Noisy"", ""Leaking"", ""Door Sweating"", ""Clicking sound""]}"
product_PS11752912,product,PS11752912,"Amana Refrigerator Center Rail. Fixes: Door won’t open or close, Noisy. Brand: Whirlpool. For: Refrigerator","{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 23.88}"
install_PS11752912,installation,PS11752912,Installation guide for Amana Refrigerator Center Rail. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=EFJ-YCLJmjE""}"
troubleshoot_PS11752912,troubleshooting,PS11752912,"Amana Refrigerator Center Rail is recommended for these issues: Door won’t open or close, Noisy. This is a refrigerator part from Whirlpool.","{""category"": ""refrigerator"", ""symptoms"": [""Door won\u2019t open or close"", ""Noisy""]}"
product_PS17807901,product,PS17807901,Beko Refrigerator Power Cord Usa 2150 Mm. Brand: Blomberg. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Blomberg"", ""price"": 20.95}"
product_PS17808058,product,PS17808058,Beko Refrigerator Heater Spring (back). Brand: Blomberg. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Blomberg"", ""price"": 58.95}"
product_PS17808090,product,PS17808090,Beko Refrigerator Rear Handle. Brand: Blomberg. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Blomberg"", ""price"": 5.95}"
product_PS17808107,product,PS17808107,"Beko Refrigerator Ice Cube Tray Arc P1 D. Brand: Blomberg. For: Refrigerator
Wall Oven","{""category"": ""refrigerator"", ""brand"": ""Blomberg"", ""price"": 6.77}"
product_PS17808168,product,PS17808168,Beko Refrigerator Motor House Support-line 2001.. Brand: Blomberg. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Blomberg"", ""price"": 6.95}"
product_PS17808263,product,PS17808263,Beko Refrigerator Cable Assembly. Brand: Blomberg. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Blomberg"", ""price"": 5.95}"
product_PS17808288,product,PS17808288,Beko Refrigerator Evaporating Tray. Brand: Blomberg. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Blomberg"", ""price"": 28.95}"
product_PS17808304,product,PS17808304,Beko Refrigerator Compressor Emx20clc. Brand: Blomberg. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Blomberg"", ""price"": 261.95}"
product_PS17808493,product,PS17808493,Beko Refrigerator 91cmv3-glass Shelf Frz Short-294x300x4. Brand: Blomberg. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Blomberg"", ""price"": 8.95}"
product_PS17808496,product,PS17808496,Beko Refrigerator Glass Shelf Group. Brand: Blomberg. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Blomberg"", ""price"": 17.95}"
product_PS16622247,product,PS16622247,Blomberg Refrigerator Svc-board Electronic Control;4918670200. Brand: Samsung. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Samsung"", ""price"": 273.69}"
product_PS16622270,product,PS16622270,Blomberg Refrigerator Ice Casting Mouth. Brand: Samsung. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Samsung"", ""price"": 197.0}"
product_PS16622500,product,PS16622500,Blomberg Refrigerator Svc-maker Ice Cube Sbs;4827350200 Dacrsv. Brand: Samsung. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Samsung"", ""price"": 217.59}"
product_PS16622298,product,PS16622298,Blomberg Refrigerator Svc-asy Evaporator Finned;4907250200 Dac. Brand: Samsung. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Samsung"", ""price"": 197.0}"
product_PS17799954,product,PS17799954,"Blomberg Refrigerator Washer (a4.3 Din 125-st). Brand: Blomberg. For: Dryer
Refrigerator","{""category"": ""refrigerator"", ""brand"": ""Blomberg"", ""price"": 6.95}"
product_PS17807830,product,PS17807830,Blomberg Refrigerator Middle Hinge Plug. Brand: Blomberg. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Blomberg"", ""price"": 5.95}"
product_PS17807831,product,PS17807831,Blomberg Refrigerator Middle Hinge Plug. Brand: Blomberg. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Blomberg"", ""price"": 5.95}"
product_PS17807838,product,PS17807838,Blomberg Refrigerator Wheel Pin (50mm). Brand: Blomberg. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Blomberg"", ""price"": 6.95}"
product_PS17807852,product,PS17807852,Blomberg Refrigerator Spacer. Brand: Blomberg. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Blomberg"", ""price"": 5.95}"
product_PS17807854,product,PS17807854,Blomberg Refrigerator Compressor Washer. Brand: Blomberg. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Blomberg"", ""price"": 6.95}"
product_PS16556076,product,PS16556076,"Bosch Refrigerator Water Filter. Brand: Bosch. For: Freezer
Refrigerator","{""category"": ""refrigerator"", ""brand"": ""Bosch"", ""price"": 68.34}"
install_PS16556076,installation,PS16556076,Installation guide for Bosch Refrigerator Water Filter. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=d6AvOkulk_g""}"
product_PS16221878,product,PS16221878,Bosch Refrigerator Water Filter. Brand: Bosch. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Bosch"", ""price"": 69.67}"
install_PS16221878,installation,PS16221878,Installation guide for Bosch Refrigerator Water Filter. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=d6AvOkulk_g""}"
product_PS12075548,product,PS12075548,"Bosch Refrigerator Tray. Fixes: Ice maker won’t dispense ice, Ice maker not making ice. Brand: Bosch. For: Refrigerator
Miscellaneous","{""category"": ""refrigerator"", ""brand"": ""Bosch"", ""price"": 26.38}"
install_PS12075548,installation,PS12075548,Installation guide for Bosch Refrigerator Tray. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=d6AvOkulk_g""}"
troubleshoot_PS12075548,troubleshooting,PS12075548,"Bosch Refrigerator Tray is recommended for these issues: Ice maker won’t dispense ice, Ice maker not making ice. This is a refrigerator part from Bosch.","{""category"": ""refrigerator"", ""symptoms"": [""Ice maker won\u2019t dispense ice"", ""Ice maker not making ice""]}"
product_PS8728848,product,PS8728848,"Bosch Refrigerator Clip. Brand: Bosch. For: Refrigerator
Freezer","{""category"": ""refrigerator"", ""brand"": ""Bosch"", ""price"": 6.96}"
product_PS12724319,product,PS12724319,Bosch Refrigerator Drawer. Brand: Bosch. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Bosch"", ""price"": 168.97}"
install_PS12724319,installation,PS12724319,Installation guide for Bosch Refrigerator Drawer. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=d6AvOkulk_g""}"
product_PS9492801,product,PS9492801,Bosch Refrigerator Seal-door. Brand: Bosch. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Bosch"", ""price"": 297.12}"
install_PS9492801,installation,PS9492801,Installation guide for Bosch Refrigerator Seal-door. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=d6AvOkulk_g""}"
product_PS12729559,product,PS12729559,Bosch Refrigerator Tray. Brand: Bosch. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Bosch"", ""price"": 40.33}"
product_PS12729558,product,PS12729558,Bosch Refrigerator Tray. Brand: Bosch. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Bosch"", ""price"": 46.63}"
install_PS12729558,installation,PS12729558,Installation guide for Bosch Refrigerator Tray. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=d6AvOkulk_g""}"
product_PS8733251,product,PS8733251,"Bosch Refrigerator Tray. Brand: Bosch. For: Freezer
Refrigerator","{""category"": ""refrigerator"", ""brand"": ""Bosch"", ""price"": 69.03}"
install_PS8733251,installation,PS8733251,Installation guide for Bosch Refrigerator Tray. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=d6AvOkulk_g""}"
product_PS12741969,product,PS12741969,Bosch Refrigerator Fixture. Brand: Bosch. For: Refrigerator,"{""category"": ""refrigerator"", ""brand"": ""Bosch"", ""price"": 13.86}"
product_PS2121513,product,PS2121513,"Caloric Refrigerator Replacement Ice Maker. Fixes: Ice maker not making ice, Leaking, Ice maker won’t dispense ice. Brand: Whirlpool. For: Refrigerator
Ice Maker","{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 95.89}"
install_PS2121513,installation,PS2121513,Installation guide for Caloric Refrigerator Replacement Ice Maker. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=_6xfzzeEWyw""}"
troubleshoot_PS2121513,troubleshooting,PS2121513,"Caloric Refrigerator Replacement Ice Maker is recommended for these issues: Ice maker not making ice, Leaking, Ice maker won’t dispense ice, Ice maker dispenses too much ice, Ice maker dispenses too little ice, Won’t start, Will Not Start, Noisy. This is a refrigerator part from Whirlpool.","{""category"": ""refrigerator"", ""symptoms"": [""Ice maker not making ice"", ""Leaking"", ""Ice maker won\u2019t dispense ice"", ""Ice maker dispenses too much ice"", ""Ice maker dispenses too little ice"", ""Won\u2019t start"", ""Will Not Start"", ""Noisy""]}"
product_PS884734,product,PS884734,"Caloric Refrigerator Light Bulb - 40w. Brand: Whirlpool. For: Refrigerator
Range
Dryer
Wall Oven
Microwave
Freezer
Microwave Oven Combo
Range Hood
Washer
Bath & Ventilation Fan
Washer Dryer Combo
Air Conditioner
Cooktop","{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 17.75}"
install_PS884734,installation,PS884734,Installation guide for Caloric Refrigerator Light Bulb - 40w. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=kSohIGunxBw""}"
product_PS12728638,product,PS12728638,"Caloric Refrigerator Door Switch. Fixes: Light not working. Brand: Whirlpool. For: Refrigerator
Freezer
Ice Maker","{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 29.29}"
install_PS12728638,installation,PS12728638,Installation guide for Caloric Refrigerator Door Switch. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=2juGyjXFpyk""}"
troubleshoot_PS12728638,troubleshooting,PS12728638,Caloric Refrigerator Door Switch is recommended for these issues: Light not working. This is a refrigerator part from Whirlpool.,"{""category"": ""refrigerator"", ""symptoms"": [""Light not working""]}"
product_PS11757023,product,PS11757023,"Caloric Refrigerator Capacitor. Fixes: Fridge too warm, Will Not Start, Fridge and Freezer are too warm. Brand: Whirlpool. For: Refrigerator
Freezer","{""category"": ""refrigerator"", ""brand"": ""Whirlpool"", ""price"": 42.83}"
install_PS11757023,installation,PS11757023,Installation guide for Caloric Refrigerator Capacitor. Difficulty: N/A. Estimated time: N/A. Video tutorial available.,"{""category"": ""refrigerator"", ""video_url"": ""https://www.youtube.com/watch?v=rU2i9x9FXdQ""}"
