part_number,name,description,category,brand,price,in_stock,specifications,image_urls,rating,reviews_count
PS11752778,Amana Refrigerator Door Shelf Bin,"Amana Refrigerator Door Shelf Bin. Fixes: Door won’t open or close, Ice maker won’t dispense ice, Leaking. Brand: Whirlpool. For: Refrigerator",refrigerator,Whirlpool,44.95,True,"{""mpn"": ""WPW10321304"", ""replace_parts"": [""AP6019471"", ""2171046"", ""2171047"", ""2179574"", ""2179575"", ""2179607"", ""2179607K"", ""2198449"", ""2198449K"", ""2304235"", ""2304235K"", ""W10321302"", ""W10321303"", ""W10321304"", ""W10549739"", ""WPW10321304VP""], ""product_url"": ""https://www.partselect.com/PS11752778-Whirlpool-WPW10321304-Refrigerator-Door-Shelf-Bin.htm?SourceCode=18"", ""symptoms"": [""Door won\u2019t open or close"", ""Ice maker won\u2019t dispense ice"", ""Leaking""]}",[],,0
PS11739119,Amana Refrigerator Crisper Drawer With Humidity Control,"Amana Refrigerator Crisper Drawer With Humidity Control. Fixes: Door won’t open or close, Ice maker not making ice, Leaking. Brand: Whirlpool. For: Refrigerator",refrigerator,Whirlpool,85.84,True,"{""mpn"": ""WP2188656"", ""replace_parts"": [""AP6006055"", ""2173384"", ""2173386"", ""2173694"", ""2173714"", ""2173715"", ""2174109"", ""2174416"", ""2175075"", ""2179281"", ""2179347"", ""2188652"", ""2188656"", ""2189529"", ""2189629"", ""2194072"", ""2194078"", ""2194081"", ""2194087"", ""2194904 ... Show more""], ""product_url"": ""https://www.partselect.com/PS11739119-Whirlpool-WP2188656-Refrigerator-Crisper-Drawer-with-Humidity-Control.htm?SourceCode=18"", ""symptoms"": [""Door won\u2019t open or close"", ""Ice maker not making ice"", ""Leaking"", ""Ice maker won\u2019t dispense ice"", ""Touchpad does not respond"", ""Door Sweating"", ""Clicking sound""]}",[],,0
PS11739091,Amana Refrigerator Door Shelf Bin - White,"Amana Refrigerator Door Shelf Bin - White. Fixes: Leaking, Door won’t open or close, Ice maker not making ice. Brand: Whirlpool. For: Refrigerator",refrigerator,Whirlpool,40.84,True,"{""mpn"": ""WP2187172"", ""replace_parts"": [""AP6006028"", ""2187172"", ""2187172K"", ""2187194"", ""2187194K"", ""WP2187172VP""], ""product_url"": ""https://www.partselect.com/PS11739091-Whirlpool-WP2187172-Refrigerator-Door-Shelf-Bin-White.htm?SourceCode=18"", ""symptoms"": [""Leaking"", ""Door won\u2019t open or close"", ""Ice maker not making ice""]}",[],,0
PS11757048,Amana Refrigerator Center Crisper Drawer Slide Rail - White,"Amana Refrigerator Center Crisper Drawer Slide Rail - White. Fixes: Door won’t open or close, Noisy, Leaking. Brand: Whirlpool. For: Refrigerator",refrigerator,Whirlpool,52.31,True,"{""mpn"": ""WPW10671238"", ""replace_parts"": [""AP6023702"", ""12530701"", ""12530701N"", ""14217493"", ""67001057"", ""8208354"", ""97001057"", ""W10671238"", ""W10671238N""], ""product_url"": ""https://www.partselect.com/PS11757048-Whirlpool-WPW10671238-Refrigerator-Center-Crisper-Drawer-Slide-Rail-White.htm?SourceCode=18"", ""symptoms"": [""Door won\u2019t open or close"", ""Noisy"", ""Leaking"", ""Fridge too cold"", ""Fridge and Freezer are too warm"", ""Ice maker not making ice"", ""Door Sweating""]}",[],,0
PS11738134,"Amana Refrigerator Pantry End Cap Kit, Lh And Rh","Amana Refrigerator Pantry End Cap Kit, Lh And Rh. Fixes: Door won’t open or close, Fridge too cold, Noisy. Brand: Whirlpool. For: Refrigerator",refrigerator,Whirlpool,34.5,True,"{""mpn"": ""W10874836"", ""replace_parts"": [""AP6004794"", ""12656010"", ""12656013"", ""12656014"", ""12656019"", ""12656022"", ""12656023"", ""12656104"", ""12656106"", ""67002757"", ""67002758"", ""67003281"", ""67005694"", ""67005858"", ""67005861"", ""67005863"", ""8208332"", ""8208333"", ""W10845508"", ""W10845509 ... Show more""], ""product_url"": ""https://www.partselect.com/PS11738134-Whirlpool-W10874836-Pantry-End-Cap-Kit-LH-and-RH.htm?SourceCode=18"", ""symptoms"": [""Door won\u2019t open or close"", ""Fridge too cold"", ""Noisy""]}",[],,0
PS11739122,Amana Refrigerator Crisper Drawer With Handle,"Amana Refrigerator Crisper Drawer With Handle. Fixes: Door won’t open or close, Leaking. Brand: Whirlpool. For: Refrigerator",refrigerator,Whirlpool,56.79,True,"{""mpn"": ""WP2188664"", ""replace_parts"": [""AP6006058"", ""2173385"", ""2173387"", ""2173696"", ""2175073"", ""2175076"", ""2179276"", ""2179279"", ""2179282"", ""2179348"", ""2188654"", ""2188664"", ""2188665"", ""2188724"", ""2189530"", ""2189630"", ""2194074"", ""2194076"", ""2194079"", ""2194082 ... Show more""], ""product_url"": ""https://www.partselect.com/PS11739122-Whirlpool-WP2188664-Refrigerator-Crisper-Drawer-With-Handle.htm?SourceCode=18"", ""symptoms"": [""Door won\u2019t open or close"", ""Leaking""]}",[],,0
PS11752912,Amana Refrigerator Center Rail,"Amana Refrigerator Center Rail. Fixes: Door won’t open or close, Noisy. Brand: Whirlpool. For: Refrigerator",refrigerator,Whirlpool,23.88,True,"{""mpn"": ""WPW10326469"", ""replace_parts"": [""AP6019603"", ""12796401"", ""67004514"", ""8208326"", ""W10326469"", ""W10326469N"", ""WPW10326469VP""], ""product_url"": ""https://www.partselect.com/PS11752912-Whirlpool-WPW10326469-Refrigerator-Center-Rail.htm?SourceCode=18"", ""symptoms"": [""Door won\u2019t open or close"", ""Noisy""]}",[],,0
PS17807901,Beko Refrigerator Power Cord Usa 2150 Mm,Beko Refrigerator Power Cord Usa 2150 Mm. Brand: Blomberg. For: Refrigerator,refrigerator,Blomberg,20.95,True,"{""mpn"": ""4112171300"", ""replace_parts"": [], ""product_url"": ""https://www.partselect.com/PS17807901-Blomberg-4112171300-Power-Cord-Usa-2150-Mm.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS17808058,Beko Refrigerator Heater Spring (back),Beko Refrigerator Heater Spring (back). Brand: Blomberg. For: Refrigerator,refrigerator,Blomberg,58.95,True,"{""mpn"": ""4214780400"", ""replace_parts"": [], ""product_url"": ""https://www.partselect.com/PS17808058-Blomberg-4214780400-Heater-Spring-Back.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS17808090,Beko Refrigerator Rear Handle,Beko Refrigerator Rear Handle. Brand: Blomberg. For: Refrigerator,refrigerator,Blomberg,5.95,True,"{""mpn"": ""4227510500"", ""replace_parts"": [], ""product_url"": ""https://www.partselect.com/PS17808090-Blomberg-4227510500-Rear-Handle.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS17808107,Beko Refrigerator Ice Cube Tray Arc P1 D,"Beko Refrigerator Ice Cube Tray Arc P1 D. Brand: Blomberg. For: Refrigerator
Wall Oven",refrigerator,Blomberg,6.77,False,"{""mpn"": ""4232250100"", ""replace_parts"": [], ""product_url"": ""https://www.partselect.com/PS17808107-Blomberg-4232250100-Ice-Cube-Tray-Arc-P1-D.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS17808168,Beko Refrigerator Motor House Support-line 2001.,Beko Refrigerator Motor House Support-line 2001.. Brand: Blomberg. For: Refrigerator,refrigerator,Blomberg,6.95,False,"{""mpn"": ""4250010300"", ""replace_parts"": [], ""product_url"": ""https://www.partselect.com/PS17808168-Blomberg-4250010300-Motor-House-Support-Line-2001.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS17808263,Beko Refrigerator Cable Assembly,Beko Refrigerator Cable Assembly. Brand: Blomberg. For: Refrigerator,refrigerator,Blomberg,5.95,True,"{""mpn"": ""4309290600"", ""replace_parts"": [], ""product_url"": ""https://www.partselect.com/PS17808263-Blomberg-4309290600-Cable-Assembly.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS17808288,Beko Refrigerator Evaporating Tray,Beko Refrigerator Evaporating Tray. Brand: Blomberg. For: Refrigerator,refrigerator,Blomberg,28.95,False,"{""mpn"": ""4317100200"", ""replace_parts"": [], ""product_url"": ""https://www.partselect.com/PS17808288-Blomberg-4317100200-Evaporating-Tray.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS17808304,Beko Refrigerator Compressor Emx20clc,Beko Refrigerator Compressor Emx20clc. Brand: Blomberg. For: Refrigerator,refrigerator,Blomberg,261.95,False,"{""mpn"": ""4318011300"", ""replace_parts"": [], ""product_url"": ""https://www.partselect.com/PS17808304-Blomberg-4318011300-Compressor-Emx20clc.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS17808493,Beko Refrigerator 91cmv3-glass Shelf Frz Short-294x300x4,Beko Refrigerator 91cmv3-glass Shelf Frz Short-294x300x4. Brand: Blomberg. For: Refrigerator,refrigerator,Blomberg,8.95,True,"{""mpn"": ""4362726400"", ""replace_parts"": [], ""product_url"": ""https://www.partselect.com/PS17808493-Blomberg-4362726400-91cmv3-Glass-Shelf-Frz-Short-294x300x4.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS17808496,Beko Refrigerator Glass Shelf Group,Beko Refrigerator Glass Shelf Group. Brand: Blomberg. For: Refrigerator,refrigerator,Blomberg,17.95,False,"{""mpn"": ""4362727600"", ""replace_parts"": [], ""product_url"": ""https://www.partselect.com/PS17808496-Blomberg-4362727600-Glass-Shelf-Group.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS16622247,Blomberg Refrigerator Svc-board Electronic Control;4918670200,Blomberg Refrigerator Svc-board Electronic Control;4918670200. Brand: Samsung. For: Refrigerator,refrigerator,Samsung,273.69,True,"{""mpn"": ""DA81-07677A"", ""replace_parts"": [""4918670200""], ""product_url"": ""https://www.partselect.com/PS16622247-Samsung-DA81-07677A-SVC-BOARD-ELECTRONIC-CONTROL-4918670200.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS16622270,Blomberg Refrigerator Ice Casting Mouth,Blomberg Refrigerator Ice Casting Mouth. Brand: Samsung. For: Refrigerator,refrigerator,Samsung,197.0,True,"{""mpn"": ""DA81-07737A"", ""replace_parts"": [""4913030400""], ""product_url"": ""https://www.partselect.com/PS16622270-Samsung-DA81-07737A-Ice-Casting-Mouth.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS16622500,Blomberg Refrigerator Svc-maker Ice Cube Sbs;4827350200 Dacrsv,Blomberg Refrigerator Svc-maker Ice Cube Sbs;4827350200 Dacrsv. Brand: Samsung. For: Refrigerator,refrigerator,Samsung,217.59,False,"{""mpn"": ""DA81-08168A"", ""replace_parts"": [""4827350200""], ""product_url"": ""https://www.partselect.com/PS16622500-Samsung-DA81-08168A-SVC-MAKER-ICE-CUBE-SBS-4827350200-DACRSV.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS16622298,Blomberg Refrigerator Svc-asy Evaporator Finned;4907250200 Dac,Blomberg Refrigerator Svc-asy Evaporator Finned;4907250200 Dac. Brand: Samsung. For: Refrigerator,refrigerator,Samsung,197.0,True,"{""mpn"": ""DA81-07822A"", ""replace_parts"": [""4907250200""], ""product_url"": ""https://www.partselect.com/PS16622298-Samsung-DA81-07822A-SVC-ASY-EVAPORATOR-FINNED-4907250200-DAC.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS17799954,Blomberg Refrigerator Washer (a4.3 Din 125-st),"Blomberg Refrigerator Washer (a4.3 Din 125-st). Brand: Blomberg. For: Dryer
Refrigerator",refrigerator,Blomberg,6.95,False,"{""mpn"": ""130100220"", ""replace_parts"": [], ""product_url"": ""https://www.partselect.com/PS17799954-Blomberg-130100220-Washer-A4-3-Din-125-St.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS17807830,Blomberg Refrigerator Middle Hinge Plug,Blomberg Refrigerator Middle Hinge Plug. Brand: Blomberg. For: Refrigerator,refrigerator,Blomberg,5.95,True,"{""mpn"": ""4047840400"", ""replace_parts"": [], ""product_url"": ""https://www.partselect.com/PS17807830-Blomberg-4047840400-Middle-Hinge-Plug.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS17807831,Blomberg Refrigerator Middle Hinge Plug,Blomberg Refrigerator Middle Hinge Plug. Brand: Blomberg. For: Refrigerator,refrigerator,Blomberg,5.95,True,"{""mpn"": ""4047841000"", ""replace_parts"": [], ""product_url"": ""https://www.partselect.com/PS17807831-Blomberg-4047841000-Middle-Hinge-Plug.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS17807838,Blomberg Refrigerator Wheel Pin (50mm),Blomberg Refrigerator Wheel Pin (50mm). Brand: Blomberg. For: Refrigerator,refrigerator,Blomberg,6.95,True,"{""mpn"": ""4048870300"", ""replace_parts"": [], ""product_url"": ""https://www.partselect.com/PS17807838-Blomberg-4048870300-Wheel-Pin-50mm.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS17807852,Blomberg Refrigerator Spacer,Blomberg Refrigerator Spacer. Brand: Blomberg. For: Refrigerator,refrigerator,Blomberg,5.95,False,"{""mpn"": ""4056670000"", ""replace_parts"": [], ""product_url"": ""https://www.partselect.com/PS17807852-Blomberg-4056670000-Spacer.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS17807854,Blomberg Refrigerator Compressor Washer,Blomberg Refrigerator Compressor Washer. Brand: Blomberg. For: Refrigerator,refrigerator,Blomberg,6.95,True,"{""mpn"": ""4057080000"", ""replace_parts"": [""4057080200""], ""product_url"": ""https://www.partselect.com/PS17807854-Blomberg-4057080000-Compressor-Washer.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS16556076,Bosch Refrigerator Water Filter,"Bosch Refrigerator Water Filter. Brand: Bosch. For: Freezer
Refrigerator",refrigerator,Bosch,68.34,True,"{""mpn"": ""11034152"", ""replace_parts"": [""00499850"", ""00641425"", ""00644845"", ""00649379"", ""00713913"", ""00740560"", ""00740570"", ""00740574"", ""00741509"", ""11028820"", ""11028821"", ""11034151"", ""17005585"", ""499850"", ""641425"", ""644845"", ""649379"", ""713913"", ""740560"", ""740570 ... Show more""], ""product_url"": ""https://www.partselect.com/PS16556076-Bosch-11034152-Refrigerator-Water-Filter.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS16221878,Bosch Refrigerator Water Filter,Bosch Refrigerator Water Filter. Brand: Bosch. For: Refrigerator,refrigerator,Bosch,69.67,True,"{""mpn"": ""11032531"", ""replace_parts"": [""11025825"", ""12028325"", ""12033030"", ""12036454"", ""17005582""], ""product_url"": ""https://www.partselect.com/PS16221878-Bosch-11032531-WATER-FILTER.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS12075548,Bosch Refrigerator Tray,"Bosch Refrigerator Tray. Fixes: Ice maker won’t dispense ice, Ice maker not making ice. Brand: Bosch. For: Refrigerator
Miscellaneous",refrigerator,Bosch,26.38,True,"{""mpn"": ""12017983"", ""replace_parts"": [""I reinforced the ice cube tray rectangular slot with a thin .080\"" plastic disc cut to fit the ice tray - you need to remove the cube tray from the round holder"", ""add the reinforcement around the plastic slot then reinstall. Also"", ""I polished the cube trays with Carnuba wax (food safe) to better release the ice.\n\nAll is well now"", ""... Read more""], ""product_url"": ""https://www.partselect.com/PS12075548-Bosch-12017983-TRAY.htm?SourceCode=18"", ""symptoms"": [""Ice maker won\u2019t dispense ice"", ""Ice maker not making ice""]}",[],,0
PS8728848,Bosch Refrigerator Clip,"Bosch Refrigerator Clip. Brand: Bosch. For: Refrigerator
Freezer",refrigerator,Bosch,6.96,True,"{""mpn"": ""00623317"", ""replace_parts"": [""AP5323196"", ""00604666"", ""604666"", ""623317""], ""product_url"": ""https://www.partselect.com/PS8728848-Bosch-00623317-CLIP.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS12724319,Bosch Refrigerator Drawer,Bosch Refrigerator Drawer. Brand: Bosch. For: Refrigerator,refrigerator,Bosch,168.97,True,"{""mpn"": ""11030666"", ""replace_parts"": [], ""product_url"": ""https://www.partselect.com/PS12724319-Bosch-11030666-DRAWER.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS9492801,Bosch Refrigerator Seal-door,Bosch Refrigerator Seal-door. Brand: Bosch. For: Refrigerator,refrigerator,Bosch,297.12,True,"{""mpn"": ""00713448"", ""replace_parts"": [""AP5806446"", ""713448""], ""product_url"": ""https://www.partselect.com/PS9492801-Bosch-00713448-SEAL-DOOR.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS12729559,Bosch Refrigerator Tray,Bosch Refrigerator Tray. Brand: Bosch. For: Refrigerator,refrigerator,Bosch,40.33,True,"{""mpn"": ""11030672"", ""replace_parts"": [], ""product_url"": ""https://www.partselect.com/PS12729559-Bosch-11030672-TRAY.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS12729558,Bosch Refrigerator Tray,Bosch Refrigerator Tray. Brand: Bosch. For: Refrigerator,refrigerator,Bosch,46.63,True,"{""mpn"": ""11030671"", ""replace_parts"": [], ""product_url"": ""https://www.partselect.com/PS12729558-Bosch-11030671-TRAY.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS8733251,Bosch Refrigerator Tray,"Bosch Refrigerator Tray. Brand: Bosch. For: Freezer
Refrigerator",refrigerator,Bosch,69.03,True,"{""mpn"": ""00671179"", ""replace_parts"": [""AP4481391"", ""00672972"", ""671179"", ""672972""], ""product_url"": ""https://www.partselect.com/PS8733251-Bosch-00671179-TRAY.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS12741969,Bosch Refrigerator Fixture,Bosch Refrigerator Fixture. Brand: Bosch. For: Refrigerator,refrigerator,Bosch,13.86,True,"{""mpn"": ""10012733"", ""replace_parts"": [], ""product_url"": ""https://www.partselect.com/PS12741969-Bosch-10012733-FIXTURE.htm?SourceCode=18"", ""symptoms"": []}",[],,0
PS11757023,Caloric Refrigerator Capacitor,"Caloric Refrigerator Capacitor. Fixes: Fridge too warm, Will Not Start, Fridge and Freezer are too warm. Brand: Whirlpool. For: Refrigerator
Freezer",refrigerator,Whirlpool,42.83,True,"{""mpn"": ""WPW10662129"", ""replace_parts"": [""AP6023677"", ""09100136"", ""09100173"", ""1100804"", ""1114291"", ""1118576"", ""1118581"", ""14201635"", ""14224144"", ""2169136"", ""2169373"", ""2169383"", ""2188516"", ""2264017"", ""4312484"", ""4356442"", ""4356601"", ""4356995"", ""4357055"", ""4357094 ... Show more""], ""product_url"": ""https://www.partselect.com/PS11757023-Whirlpool-WPW10662129-Refrigerator-Capacitor.htm?SourceCode=18"", ""symptoms"": [""Fridge too warm"", ""Will Not Start"", ""Fridge and Freezer are too warm"", ""Freezer section too warm"", ""Clicking sound"", ""Too warm"", ""Fridge runs too long"", ""Noisy"", ""Won\u2019t start"", ""Freezer not defrosting""]}",[],,0
PS395284,Caloric Refrigerator Condenser Fan Motor Kit,"Caloric Refrigerator Condenser Fan Motor Kit. Fixes: Fridge too warm, Freezer section too warm, Noisy. Brand: Whirlpool. For: Refrigerator
Freezer",refrigerator,Whirlpool,62.15,True,"{""mpn"": ""833697"", ""replace_parts"": [""AP3120994"", ""2790"", ""833697"", ""0054175"", ""0055586"", ""0056804"", ""0311168"", ""0312499"", ""10448601"", ""10448602"", ""10448603"", ""10522101"", ""10522102"", ""10522104"", ""10884501"", ""10884502"", ""10884504"", ""10884506"", ""10884507"", ""1101025 ... Show more""], ""product_url"": ""https://www.partselect.com/PS395284-Whirlpool-833697-Refrigerator-Condenser-Fan-Motor-Kit.htm?SourceCode=18"", ""symptoms"": [""Fridge too warm"", ""Freezer section too warm"", ""Noisy"", ""Fridge runs too long"", ""Fridge and Freezer are too warm"", ""Will Not Start"", ""Leaking"", ""Too warm""]}",[],,0
PS11723171,Caloric Refrigerator Defrost Timer,"Caloric Refrigerator Defrost Timer. Fixes: Fridge too warm, Freezer not defrosting, Freezer section too warm. Brand: Whirlpool. For: Refrigerator
Freezer",refrigerator,Whirlpool,33.85,True,"{""mpn"": ""W10822278"", ""replace_parts"": [""AP5985208"", ""0053736"", ""0055525"", ""0056627"", ""0056768"", ""0056906"", ""0311209"", ""104039"", ""1101021"", ""1105267"", ""1113225"", ""1114246"", ""1114248"", ""1114264"", ""1114283"", ""1114287"", ""1115416"", ""1118626"", ""1127570"", ""1127571 ... Show more""], ""product_url"": ""https://www.partselect.com/PS11723171-Whirlpool-W10822278-Defrost-Timer.htm?SourceCode=18"", ""symptoms"": [""Fridge too warm"", ""Freezer not defrosting"", ""Freezer section too warm"", ""Leaking"", ""Will Not Start"", ""Fridge and Freezer are too warm"", ""Fridge runs too long"", ""Frost buildup"", ""Freezer too cold"", ""Fridge too cold"", ""Too warm"", ""Noisy"", ""Won\u2019t start""]}",[],,0
